img_a,img_b,method,dcor,dcov,mic_e,tic_e,pearson,img
img_6_noise_mid,img_6_noise_high,hist,0.9849243214658192,1454.7175272047452,0.9137336481562636,35.62080405766734,0.9865419839938312,6
img_6_noise_high,img_6_noise_high,full,0.9999999999999662,0.3294584757568134,1.0000000000000038,13344.90495974687,1.0,6
img_6_noise_high,img_6_noise_high,hist,1.0,1473.6753376731087,1.0000000000000002,41.32603238571484,1.0,6
img_7_bw,img_7_bw,full,0.9995521395975202,0.1723775037904568,0.9999999998320472,13345.609730419555,1.0,7
img_7_bw,img_7_bw,hist,1.0,718.718020287015,0.9999861288309188,41.32654441218384,0.9999999999999998,7
img_7_bw,img_7_noise_low,full,0.915692263079914,0.1610266554090912,0.6413896761832407,6087.3382874282,0.9273429922818538,7
img_7_bw,img_7_noise_low,hist,0.5602863102001938,489.6032570834544,0.376830415644059,12.991306366703922,0.5244474870151482,7
img_7_bw,img_7_noise_mid,full,0.6073612471252016,0.125828093222566,0.2530893650126143,1956.74050382664,0.6379525677872488,7
img_7_bw,img_7_noise_mid,hist,0.4145542179805865,416.1480888313041,0.3112955692762708,9.255264689678748,0.3511892756064628,7
img_7_bw,img_7_noise_high,full,0.4157112315627838,0.1026576974988799,0.1153429786831428,851.131763711838,0.4456631390527359,7
img_7_bw,img_7_noise_high,hist,0.4222874955243043,430.59397712995576,0.2811670432060283,8.628068304480562,0.3518361332309072,7
img_7_noise_low,img_7_noise_low,full,0.9999999999999052,0.1793169409286058,1.0000000000000038,13344.90495974687,1.0,7
img_7_noise_low,img_7_noise_low,hist,1.0,1062.4537656890875,1.0000000000000002,41.324973525622525,1.0,7
img_7_noise_low,img_7_noise_mid,full,0.5652994668568053,0.1194214133366976,0.2283726497894498,1685.5538823996922,0.5915527418906217,7
img_7_noise_low,img_7_noise_mid,hist,0.830159469643917,1013.2202139856856,0.9840471637045684,36.58459640699764,0.8172845126121457,7
img_7_noise_low,img_7_noise_high,full,0.386132913878941,0.0972321025165854,0.1033073121752488,739.2606847495766,0.4118739560496794,7
img_7_noise_low,img_7_noise_high,hist,0.8138356952774177,1008.9559753670662,0.9999559719934968,37.019719830754255,0.7943973465800823,7
img_7_noise_mid,img_7_noise_mid,full,0.9999999999999596,0.2488776746015909,1.0000000000000038,13344.90495974687,1.0,7
img_7_noise_mid,img_7_noise_mid,hist,1.0,1402.08582384385,1.0000000000000002,41.333900919241565,1.0,7
img_7_noise_mid,img_7_noise_high,full,0.2647441487489773,0.0785383068323882,0.0475648489403817,352.1568884095362,0.2850457739768914,7
img_7_noise_mid,img_7_noise_high,hist,0.9979581104498948,1421.2814030861311,0.9760396646627624,38.8288924498149,0.9977839531188748,7
